event_ts_ms,udp_ts,ws_ts,delta_ms,faster_source
1771559431095,1771559428295452,1771559428295384,0.068,WS
1771559431356,1771559428503592,1771559428503546,0.046,WS
1771559431399,1771559428543189,1771559428543201,-0.012,UDP
1771559431427,1771559428680459,1771559428680445,0.014,WS
1771559431428,1771559428680466,1771559428680451,0.015,WS
1771559431507,1771559428695654,1771559428695632,0.022,WS
1771559431612,1771559428758688,1771559428758674,0.014,WS
1771559431648,1771559428795399,1771559428795322,0.077,WS
1771559431845,1771559429007658,1771559429007599,0.059,WS
1771559431955,1771559429109023,1771559429108960,0.063,WS
1771559431986,1771559429145308,1771559429136414,8.894,WS
1771559432003,1771559429145317,1771559429145248,0.069,WS
1771559432005,1771559429158645,1771559429158693,-0.048,UDP
1771559432009,1771559429158648,1771559429158717,-0.069,UDP
1771559432015,1771559429158648,1771559429158724,-0.076,UDP
1771559432359,1771559429502549,1771559429502555,-0.006,UDP
1771559432431,1771559429574225,1771559429574234,-0.009,UDP
1771559432438,1771559429590013,1771559429589978,0.035,WS
1771559432460,1771559429605766,1771559429605711,0.055,WS
1771559432599,1771559429745367,1771559429745325,0.042,WS
1771559432615,1771559429758348,1771559429758271,0.077,WS
1771559432617,1771559429768662,1771559429768615,0.047,WS
1771559432649,1771559429800824,1771559429800810,0.014,WS
1771559432651,1771559429800835,1771559429800819,0.016,WS
1771559432653,1771559429800858,1771559429800822,0.036,WS
1771559432945,1771559430096861,1771559430096829,0.032,WS
1771559432984,1771559430133138,1771559430133101,0.037,WS
1771559433005,1771559430149622,1771559430149580,0.042,WS
1771559433009,1771559430154040,1771559430153984,0.056,WS
1771559433065,1771559430211210,1771559430211170,0.040,WS
1771559433100,1771559430246412,1771559430246342,0.070,WS
1771559433110,1771559430254806,1771559430254785,0.021,WS
1771559433132,1771559430285633,1771559430285602,0.031,WS
1771559433153,1771559430296205,1771559430296169,0.036,WS
1771559433166,1771559430312173,1771559430312127,0.046,WS
1771559433169,1771559430312184,1771559430312135,0.049,WS
1771559433182,1771559430332093,1771559430332068,0.025,WS
1771559433184,1771559430332103,1771559430332076,0.027,WS
1771559433186,1771559430332105,1771559430332081,0.024,WS
1771559433229,1771559430374095,1771559430374081,0.014,WS
1771559433336,1771559430480274,1771559430480230,0.044,WS
1771559433359,1771559430504221,1771559430504150,0.071,WS
1771559433405,1771559430547146,1771559430547125,0.021,WS
1771559433429,1771559430573887,1771559430573817,0.070,WS
1771559433434,1771559430583556,1771559430577633,5.923,WS
1771559433438,1771559430583571,1771559430583502,0.069,WS
1771559433561,1771559430775443,1771559430775439,0.004,WS
1771559433650,1771559430804065,1771559430795125,8.940,WS
1771559433800,1771559430944449,1771559430944436,0.013,WS
1771559433954,1771559431107531,1771559431107479,0.052,WS
1771559433969,1771559431134111,1771559431125804,8.307,WS
1771559434005,1771559431166780,1771559431166788,-0.008,UDP
1771559434008,1771559431166782,1771559431166810,-0.028,UDP
1771559434009,1771559431166784,1771559431166844,-0.060,UDP
1771559434011,1771559431166795,1771559431166850,-0.055,UDP
1771559434052,1771559431196483,1771559431196428,0.055,WS
1771559434055,1771559431207069,1771559431206954,0.115,WS
1771559434089,1771559431240403,1771559431240404,-0.001,UDP
1771559434122,1771559431375778,1771559431375703,0.075,WS
1771559434135,1771559431375793,1771559431375715,0.078,WS
1771559434154,1771559431375795,1771559431375720,0.075,WS
1771559434176,1771559431413140,1771559431413109,0.031,WS
1771559434191,1771559431413146,1771559431413116,0.030,WS
1771559434222,1771559431413147,1771559431413120,0.027,WS
1771559434294,1771559431449921,1771559431449939,-0.018,UDP
1771559434360,1771559431510729,1771559431510720,0.009,WS
1771559434403,1771559431566560,1771559431566545,0.015,WS
1771559434430,1771559431573375,1771559431573356,0.019,WS
1771559434432,1771559431576901,1771559431576851,0.050,WS
1771559434434,1771559431578746,1771559431578736,0.010,WS
1771559434465,1771559431608068,1771559431608075,-0.007,UDP
1771559434650,1771559431802929,1771559431802927,0.002,WS
1771559434687,1771559431829200,1771559431829147,0.053,WS
1771559434693,1771559431840294,1771559431840272,0.022,WS
1771559434788,1771559431990146,1771559431990089,0.057,WS
1771559434810,1771559432140151,1771559432140091,0.060,WS
1771559434839,1771559432208705,1771559432208727,-0.022,UDP
1771559434842,1771559432213234,1771559432213177,0.057,WS
1771559434890,1771559432249692,1771559432249627,0.065,WS
1771559434895,1771559432255798,1771559432255805,-0.007,UDP
1771559435006,1771559432257073,1771559432256996,0.077,WS
1771559435010,1771559432257078,1771559432257000,0.078,WS
1771559435139,1771559432295177,1771559432292948,2.229,WS
1771559435219,1771559432363568,1771559432363519,0.049,WS
1771559435340,1771559432492800,1771559432492678,0.122,WS
1771559435361,1771559432522441,1771559432522372,0.069,WS
1771559435432,1771559432576606,1771559432576581,0.025,WS
